Date,Number_of_Transactions,Number_of_Coinbase_Transactions,Coinbase_Transactions_Output_Total,Number_of_Zero_Fee_Transactions,Total_Size_of_Transactions,Mean_Size_of_Transactions,Median_Size_of_Transactions,StdDev_Size_of_Transactions,Total_Weight_of_Transactions,Mean_Weight_of_Transactions,Median_Weight_of_Transactions,StdDev_Weight_of_Transactions,Total_Input_Count,Mean_Input_Count,Median_Input_Count,StdDev_Input_Count,Total_Output_Count,Mean_Output_Count,Median_Output_Count,StdDev_Output_Count,Total_Input_Total,Mean_Input_Total,Median_Input_Total,StdDev_Input_Total,Total_Output_Total,Mean_Output_Total,Median_Output_Total,StdDev_Output_Total,Total_Fees,Mean_Fees,Median_Fees,StdDev_Fees,Fee_per_KB
16/06/2022 00:00,251253,119,76711316242,121,163331049,650.0660649,226,3777.558791,429580191,1709.75149,688,8753.229413,769687,3.063394268,1,20.62025577,853362,3.396425117,2,22.66223028,1.34383E+15,5348529127,2535074,65386589837,1.34391E+15,5348825144,2538921,65386565525,2336316242,9298.660084,3833,65523.95559,14304.17705
17/06/2022 00:00,251574,108,69680982509,110,156851144,623.4791513,226,3405.739013,416005322,1653.610158,708,7899.733573,719747,2.8609753,1,17.73466445,858095,3.410904942,2,21.65465107,1.17102E+15,4654775957,2603256,54182916360,1.17109E+15,4655044267,2604597,54182893411,2180982509,8669.347822,3652,50585.91095,13904.79185
18/06/2022 00:00,247890,156,99593640460,158,186235123,751.2813062,234,4373.056864,478248415,1929.276756,721,9834.299538,877462,3.539723264,1,23.08114356,850170,3.429626044,2,22.61664988,1.05597E+15,4259849976,2870386,51487170552,1.05607E+15,4260243296,2879437.5,51487138429,2093640460,8445.84477,3384,71420.9786,11241.92057
19/06/2022 00:00,199777,133,84411799682,135,138282086,692.1822132,226,3883.277676,362451857,1814.28221,721,9093.5198,643269,3.219935228,1,20.89839302,705883,3.53335469,2,25.61565948,5.04218E+14,2523904603,2404911,34495486743,5.04301E+14,2524320692,2411463,34495459405,1286799682,6441.180326,2448,28572.21795,9305.613758
20/06/2022 00:00,236636,132,84015949444,134,149208469,630.5400235,226,3309.069112,394697296,1667.951182,709,7849.221364,700367,2.959680691,1,17.70366683,773568,3.269020775,2,22.58089168,4.42337E+14,1869270713,2551336.5,28247582903,4.42419E+14,1869619350,2557294.5,28247563054,1515949444,6406.250292,2311,36111.29552,10159.94236
21/06/2022 00:00,254438,150,95381117056,152,170111351,668.5768281,226,3860.525996,448385837,1762.259714,708,8971.642505,803737,3.158871709,1,20.75457576,832519,3.271991605,2,21.54933874,4.17537E+14,1641018396,2535686.5,25911413282,4.17631E+14,1641386855,2541826,25911393767,1631117056,6410.66608,2386,40586.82983,9588.525671
22/06/2022 00:00,255472,129,82320518418,131,164952405,645.6770409,226,3907.095707,436277133,1707.729743,702,8974.783077,784626,3.071279827,1,21.37337197,832163,3.257355013,2,20.80752793,3.24524E+14,1270292270,2493128.5,21835641688,3.24605E+14,1270607863,2495272.5,21835627250,1695518418,6636.807235,2698,29102.7788,10278.83418
23/06/2022 00:00,255213,152,96480652653,154,161850512,634.1781649,226,3554.25701,431748533,1691.71842,712,8459.685326,765676,3.000144977,1,19.62770106,829195,3.249031201,2,21.15175523,2.93316E+14,1149297338,2375766,21027329824,2.93411E+14,1149669576,2379592,21027314467,1480652653,5801.634921,2272,30115.14962,9148.272901
24/06/2022 00:00,254348,129,82241066344,131,169214472,665.2872128,226,3853.324888,445108704,1749.998836,708,8807.304507,785919,3.089935836,1,19.57070318,850267,3.3429278,2,20.90491808,3.6544E+14,1436770892,2432670,23430850296,3.6552E+14,1437087879,2435418,23430834677,1616066344,6353.760769,2397,30159.98268,9550.402663
25/06/2022 00:00,218017,151,95713352602,153,163478722,749.8439204,226,3933.180244,472266040,2166.189059,720,10651.50109,828700,3.801079732,1,22.56807,724161,3.321580427,2,22.45981921,1.76832E+14,811090548.1,2000000,17260570234,1.76926E+14,811523427.2,1999686,17260557458,1338352602,6138.753409,2288,27059.95541,8186.708249
26/06/2022 00:00,206755,138,87523963608,140,175429047,848.4875674,226,3275.260361,551203377,2665.973626,755,9804.433967,948722,4.588629054,1,19.48917407,677520,3.276921961,2,22.75941485,1.37165E+14,663418561.2,1826954,15341958883,1.37251E+14,663835721.6,1829845,15341949164,1273963608,6161.706406,2246,25161.54387,7261.987851
27/06/2022 00:00,258883,136,86438984270,138,195803849,756.3410846,226,3807.605979,543230327,2098.362299,734,9698.394979,1000922,3.866310264,1,21.87951674,804020,3.105727298,2,20.90482916,2.97965E+14,1150965527,2175163,22795349754,2.9805E+14,1151293861,2180769,22795337430,1438984270,5558.434776,1854,28795.70748,7349.111253
28/06/2022 00:00,248080,146,92659781426,148,168691774,679.9894147,226,4165.321653,449788192,1813.077201,697,10198.7214,818216,3.298194131,1,23.04255023,806630,3.251491454,2,21.65971621,3.98405E+14,1605954417,2605757.5,26530585809,3.98496E+14,1606322242,2612716,26530567500,1409781426,5682.769373,2073,25282.03734,8357.143876
29/06/2022 00:00,265079,151,95722455851,153,184053548,694.3347002,226,4106.448094,479411840,1808.562127,712,9833.996373,860783,3.247269682,1,21.58803451,857275,3.234035891,2,20.64290062,4.62573E+14,1745039264,2684348,26836977387,4.62668E+14,1745395289,2692412,26836957804,1347455851,5083.223684,1814,23352.2926,7320.999055
30/06/2022 00:00,271213,171,1.08531E+11,173,183208742,675.5160778,226,3899.214943,481023788,1773.601516,710,9097.380234,874618,3.224838042,1,21.56670673,916092,3.377758441,2,21.61101911,4.72246E+14,1741234911,2849981,25407296193,4.72352E+14,1741628974,2859639,25407273560,1656350657,6107.194924,2173,39240.42491,9040.783965
01/07/2022 00:00,271874,134,85559922210,136,168924645,621.334313,226,3250.219071,447763158,1646.951007,697,7741.80231,783801,2.882956811,1,17.35357365,933704,3.434326195,2,21.34697089,4.99093E+14,1835751447,2845967,25552695631,4.99177E+14,1836059494,2850974,25552676732,1809922210,6657.209627,2438,48346.24916,10714.37628
02/07/2022 00:00,235096,138,87579966070,140,159615269,678.9365578,226,3975.138991,413329355,1758.130104,714,9091.691079,756673,3.218570286,1,21.95006446,813295,3.459416579,2,21.29021437,3.3194E+14,1411932124,2318358,22032990128,3.32026E+14,1412298996,2323217,22032971416,1329966070,5657.119092,2112,21926.34129,8332.323582
03/07/2022 00:00,206333,155,97874936567,157,132923313,644.2174204,226,3613.617295,348253728,1687.823702,714,8456.095017,629366,3.050244023,1,19.76722459,714682,3.463730959,2,24.23376517,3.33674E+14,1617162108,2282331,24111259784,3.33771E+14,1617631616,2292461,24111233963,999936567,4846.227055,1704,18677.12579,7522.657572
04/07/2022 00:00,240385,143,90731007378,145,158068484,657.5638413,226,3609.917129,415968113,1730.424581,708,8565.135705,755273,3.141930653,1,19.67999643,789915,3.286041142,2,21.70438798,3.65135E+14,1518959220,2664373,23988594224,3.65224E+14,1519331019,2672054,23988575176,1356007378,5640.981667,2070,24283.62672,8578.60684
